SFarm,Date-Time(Asia/Shanghai),Vel(m/s),Dir(º),T(ºC),Rad(W/m2),Hum(%),P(mbar)
SSPSS-Aikangjinghe,2016-01-01 15:15,2.8,309,-1.5,315,49,961
SSPSS-Aikangjinghe,2016-01-01 15:30,2.3,304,-1.4,305,49,961
SSPSS-Aikangjinghe,2016-01-01 15:45,1.8,299,-1.3,294,48,961
SSPSS-Aikangjinghe,2016-01-01 16:00,1.4,291,-1.2,283,48,961
SSPSS-Aikangjinghe,2016-01-01 16:15,1.0,276,-1.2,267,48,961
SSPSS-Aikangjinghe,2016-01-01 16:30,0.8,256,-1.3,245,48,961
SSPSS-Aikangjinghe,2016-01-01 16:45,0.8,225,-1.4,224,48,961
SSPSS-Aikangjinghe,2016-01-01 17:00,1.0,204,-1.4,202,47,961
SSPSS-Aikangjinghe,2016-01-01 17:15,1.1,202,-1.6,178,47,961
SSPSS-Aikangjinghe,2016-01-01 17:30,1.2,200,-1.9,153,47,961
SSPSS-Aikangjinghe,2016-01-01 17:45,1.3,203,-2.1,127,47,961
SSPSS-Aikangjinghe,2016-01-01 18:00,1.3,207,-2.3,101,47,961
SSPSS-Aikangjinghe,2016-01-01 18:15,1.3,212,-2.6,77,47,961
SSPSS-Aikangjinghe,2016-01-01 18:30,1.3,222,-2.9,55,47,962
SSPSS-Aikangjinghe,2016-01-01 18:45,1.5,233,-3.1,33,46,962
SSPSS-Aikangjinghe,2016-01-01 19:00,1.6,243,-3.4,11,46,962
SSPSS-Aikangjinghe,2016-01-01 19:15,1.7,249,-3.6,0,46,962
SSPSS-Aikangjinghe,2016-01-01 19:30,1.9,254,-3.7,0,46,962
SSPSS-Aikangjinghe,2016-01-01 19:45,2.0,261,-3.8,0,46,962
SSPSS-Aikangjinghe,2016-01-01 20:00,2.2,265,-3.9,0,46,962
SSPSS-Aikangjinghe,2016-01-01 20:15,2.3,265,-3.9,0,46,962
SSPSS-Aikangjinghe,2016-01-01 20:30,2.3,265,-3.7,0,46,962
SSPSS-Aikangjinghe,2016-01-01 20:45,2.3,265,-3.5,0,46,962
SSPSS-Aikangjinghe,2016-01-01 21:00,2.3,263,-3.4,0,45,962
SSPSS-Aikangjinghe,2016-01-01 21:15,2.3,260,-3.1,0,45,962
SSPSS-Aikangjinghe,2016-01-01 21:30,2.2,257,-2.8,0,45,962
SSPSS-Aikangjinghe,2016-01-01 21:45,2.1,251,-2.5,0,44,963
SSPSS-Aikangjinghe,2016-01-01 22:00,2.1,245,-2.2,0,44,963
SSPSS-Aikangjinghe,2016-01-01 22:15,2.0,240,-1.9,0,44,963
SSPSS-Aikangjinghe,2016-01-01 22:30,1.9,234,-1.7,0,44,963
SSPSS-Aikangjinghe,2016-01-01 22:45,1.8,225,-1.5,0,44,963
SSPSS-Aikangjinghe,2016-01-01 23:00,1.7,216,-1.2,0,44,963
SSPSS-Aikangjinghe,2016-01-01 23:15,1.6,210,-1.1,0,44,963
SSPSS-Aikangjinghe,2016-01-01 23:30,1.5,203,-1.0,0,44,963
SSPSS-Aikangjinghe,2016-01-01 23:45,1.5,196,-1.0,0,45,963
SSPSS-Aikangjinghe,2016-01-02 00:00,1.3,189,-1.0,0,45,963
SSPSS-Aikangjinghe,2016-01-02 00:15,1.3,184,-1.0,0,45,963
SSPSS-Aikangjinghe,2016-01-02 00:30,1.1,180,-1.1,0,46,963
SSPSS-Aikangjinghe,2016-01-02 00:45,1.0,180,-1.2,0,46,962
SSPSS-Aikangjinghe,2016-01-02 01:00,0.9,174,-1.2,0,46,962
SSPSS-Aikangjinghe,2016-01-02 01:15,0.7,172,-1.3,0,46,962
SSPSS-Aikangjinghe,2016-01-02 01:30,0.6,171,-1.4,0,47,962
SSPSS-Aikangjinghe,2016-01-02 01:45,0.5,180,-1.5,0,48,962
SSPSS-Aikangjinghe,2016-01-02 02:00,0.3,180,-1.6,0,48,962
SSPSS-Aikangjinghe,2016-01-02 02:15,0.2,207,-1.7,0,48,962
SSPSS-Aikangjinghe,2016-01-02 02:30,0.3,252,-1.6,0,48,962
SSPSS-Aikangjinghe,2016-01-02 02:45,0.6,270,-1.6,0,49,962
SSPSS-Aikangjinghe,2016-01-02 03:00,0.8,270,-1.6,0,49,962
SSPSS-Aikangjinghe,2016-01-02 03:15,1.1,270,-1.6,0,49,962
SSPSS-Aikangjinghe,2016-01-02 03:30,1.4,270,-1.5,0,50,962
SSPSS-Aikangjinghe,2016-01-02 03:45,1.7,270,-1.4,0,50,962
SSPSS-Aikangjinghe,2016-01-02 04:00,2.0,270,-1.4,0,50,961
SSPSS-Aikangjinghe,2016-01-02 04:15,2.2,270,-1.4,0,50,961
SSPSS-Aikangjinghe,2016-01-02 04:30,2.3,270,-1.4,0,50,961
SSPSS-Aikangjinghe,2016-01-02 04:45,2.5,270,-1.3,0,50,961
SSPSS-Aikangjinghe,2016-01-02 05:00,2.7,268,-1.3,0,50,961
SSPSS-Aikangjinghe,2016-01-02 05:15,2.7,266,-1.3,0,50,961
SSPSS-Aikangjinghe,2016-01-02 05:30,2.5,261,-1.4,0,50,961
SSPSS-Aikangjinghe,2016-01-02 05:45,2.5,258,-1.5,0,51,961
SSPSS-Aikangjinghe,2016-01-02 06:00,2.4,253,-1.6,0,51,961
SSPSS-Aikangjinghe,2016-01-02 06:15,2.3,247,-1.7,0,51,961
SSPSS-Aikangjinghe,2016-01-02 06:30,2.1,239,-1.9,0,51,961
SSPSS-Aikangjinghe,2016-01-02 06:45,2.0,229,-2.1,0,51,961
SSPSS-Aikangjinghe,2016-01-02 07:00,1.9,219,-2.2,0,51,961
SSPSS-Aikangjinghe,2016-01-02 07:15,1.9,208,-2.3,0,51,961
SSPSS-Aikangjinghe,2016-01-02 07:30,1.9,201,-2.5,0,51,961
SSPSS-Aikangjinghe,2016-01-02 07:45,1.9,192,-2.6,0,51,961
SSPSS-Aikangjinghe,2016-01-02 08:00,2.1,183,-2.7,0,51,961
SSPSS-Aikangjinghe,2016-01-02 08:15,2.1,180,-2.8,0,51,961
SSPSS-Aikangjinghe,2016-01-02 08:30,2.1,177,-2.8,0,51,962
SSPSS-Aikangjinghe,2016-01-02 08:45,2.1,175,-2.9,0,51,962
SSPSS-Aikangjinghe,2016-01-02 09:00,2.1,172,-3.0,0,51,962
SSPSS-Aikangjinghe,2016-01-02 09:15,2.1,172,-3.0,0,51,962
SSPSS-Aikangjinghe,2016-01-02 09:30,2.0,171,-3.0,0,51,962
SSPSS-Aikangjinghe,2016-01-02 09:45,1.9,174,-3.0,0,51,962
SSPSS-Aikangjinghe,2016-01-02 10:00,1.8,177,-3.0,0,51,962
SSPSS-Aikangjinghe,2016-01-02 10:15,1.7,177,-3.0,11,51,962
SSPSS-Aikangjinghe,2016-01-02 10:30,1.5,180,-3.0,32,52,962
SSPSS-Aikangjinghe,2016-01-02 10:45,1.4,180,-2.9,53,52,963
SSPSS-Aikangjinghe,2016-01-02 11:00,1.3,184,-2.9,74,52,963
SSPSS-Aikangjinghe,2016-01-02 11:15,1.2,189,-2.8,99,53,963
SSPSS-Aikangjinghe,2016-01-02 11:30,1.1,190,-2.8,129,54,963
SSPSS-Aikangjinghe,2016-01-02 11:45,0.9,198,-2.8,159,55,963
SSPSS-Aikangjinghe,2016-01-02 12:00,0.9,207,-2.7,189,56,963
SSPSS-Aikangjinghe,2016-01-02 12:15,0.8,210,-2.6,214,57,963
SSPSS-Aikangjinghe,2016-01-02 12:30,0.8,220,-2.6,233,58,963
SSPSS-Aikangjinghe,2016-01-02 12:45,0.8,230,-2.6,252,59,963
SSPSS-Aikangjinghe,2016-01-02 13:00,0.7,236,-2.5,271,60,963
SSPSS-Aikangjinghe,2016-01-02 13:15,0.7,243,-2.4,288,60,963
SSPSS-Aikangjinghe,2016-01-02 13:30,0.6,252,-2.3,303,61,963
SSPSS-Aikangjinghe,2016-01-02 13:45,0.6,252,-2.2,317,62,963
SSPSS-Aikangjinghe,2016-01-02 14:00,0.6,252,-2.1,332,62,963
SSPSS-Aikangjinghe,2016-01-02 14:15,0.6,261,-2.0,341,62,963
SSPSS-Aikangjinghe,2016-01-02 14:30,0.6,261,-1.9,346,62,963
SSPSS-Aikangjinghe,2016-01-02 14:45,0.5,259,-1.7,350,62,963
SSPSS-Aikangjinghe,2016-01-02 15:00,0.4,256,-1.5,354,61,963
SSPSS-Aikangjinghe,2016-01-02 15:15,0.4,256,-1.4,350,61,963
SSPSS-Aikangjinghe,2016-01-02 15:30,0.4,236,-1.3,338,60,963
SSPSS-Aikangjinghe,2016-01-02 15:45,0.3,225,-1.1,327,60,963
SSPSS-Aikangjinghe,2016-01-02 16:00,0.3,225,-0.9,315,60,963
SSPSS-Aikangjinghe,2016-01-02 16:15,0.2,207,-0.8,296,59,963
SSPSS-Aikangjinghe,2016-01-02 16:30,0.2,207,-0.8,269,58,963
SSPSS-Aikangjinghe,2016-01-02 16:45,0.3,180,-0.7,243,58,963
SSPSS-Aikangjinghe,2016-01-02 17:00,0.3,180,-0.6,216,57,963
SSPSS-Aikangjinghe,2016-01-02 17:15,0.3,180,-0.6,188,56,963
SSPSS-Aikangjinghe,2016-01-02 17:30,0.3,180,-0.6,160,56,963
SSPSS-Aikangjinghe,2016-01-02 17:45,0.2,180,-0.6,131,55,963
SSPSS-Aikangjinghe,2016-01-02 18:00,0.2,180,-0.6,102,54,963
SSPSS-Aikangjinghe,2016-01-02 18:15,0.2,180,-0.6,77,54,963
SSPSS-Aikangjinghe,2016-01-02 18:30,0.2,180,-0.7,55,54,963
SSPSS-Aikangjinghe,2016-01-02 18:45,0.1,180,-0.8,33,54,962
SSPSS-Aikangjinghe,2016-01-02 19:00,0.0,0,-0.8,11,54,962
SSPSS-Aikangjinghe,2016-01-02 19:15,0.0,0,-0.9,0,54,962
SSPSS-Aikangjinghe,2016-01-02 19:30,0.0,0,-1.0,0,54,962
SSPSS-Aikangjinghe,2016-01-02 19:45,0.0,0,-1.0,0,54,962
SSPSS-Aikangjinghe,2016-01-02 20:00,0.0,0,-1.0,0,53,962
SSPSS-Aikangjinghe,2016-01-02 20:15,0.0,0,-1.1,0,53,962
SSPSS-Aikangjinghe,2016-01-02 20:30,0.0,0,-1.1,0,53,962
SSPSS-Aikangjinghe,2016-01-02 20:45,0.0,0,-1.1,0,52,962
SSPSS-Aikangjinghe,2016-01-02 21:00,0.0,0,-1.1,0,52,962
SSPSS-Aikangjinghe,2016-01-02 21:15,0.0,0,-1.0,0,52,962
SSPSS-Aikangjinghe,2016-01-02 21:30,0.0,0,-1.0,0,52,962
SSPSS-Aikangjinghe,2016-01-02 21:45,0.0,0,-1.0,0,52,963
SSPSS-Aikangjinghe,2016-01-02 22:00,0.0,0,-0.9,0,51,963
SSPSS-Aikangjinghe,2016-01-02 22:15,0.0,0,-0.9,0,51,963
SSPSS-Aikangjinghe,2016-01-02 22:30,0.1,90,-0.8,0,51,963
SSPSS-Aikangjinghe,2016-01-02 22:45,0.1,90,-0.8,0,50,963
SSPSS-Aikangjinghe,2016-01-02 23:00,0.1,90,-0.8,0,50,963
SSPSS-Aikangjinghe,2016-01-02 23:15,0.1,90,-0.8,0,50,963
SSPSS-Aikangjinghe,2016-01-02 23:30,0.1,90,-0.8,0,50,963
SSPSS-Aikangjinghe,2016-01-02 23:45,0.2,90,-0.8,0,50,963
SSPSS-Aikangjinghe,2016-01-03 00:00,0.2,90,-0.9,0,50,963
SSPSS-Aikangjinghe,2016-01-03 00:15,0.2,90,-0.9,0,50,963
SSPSS-Aikangjinghe,2016-01-03 00:30,0.3,90,-1.0,0,50,963
SSPSS-Aikangjinghe,2016-01-03 00:45,0.3,90,-1.0,0,50,962
SSPSS-Aikangjinghe,2016-01-03 01:00,0.3,90,-1.1,0,50,962
SSPSS-Aikangjinghe,2016-01-03 01:15,0.3,90,-1.2,0,50,962
SSPSS-Aikangjinghe,2016-01-03 01:30,0.3,90,-1.3,0,50,962
SSPSS-Aikangjinghe,2016-01-03 01:45,0.4,90,-1.4,0,51,962
SSPSS-Aikangjinghe,2016-01-03 02:00,0.4,90,-1.5,0,51,962
SSPSS-Aikangjinghe,2016-01-03 02:15,0.4,90,-1.6,0,51,962
SSPSS-Aikangjinghe,2016-01-03 02:30,0.4,90,-1.7,0,52,962
